ID,Date_start_contract,Date_last_renewal,Date_next_renewal,Date_birth,Date_driving_licence,Distribution_channel,Seniority,Policies_in_force,Max_policies,Max_products,Lapse,Date_lapse,Payment,Premium,Cost_claims_year,N_claims_year,N_claims_history,R_Claims_history,Type_risk,Area,Second_driver_flag,Year_matriculation,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight,Age
339,2000-02-01,2016-02-01,2017-02-01,1977-11-04,1997-04-24,0,18,2,3,1,0,2017-02-01,0,229.83,0,0,0,0.0,3,0,No,1995,60,1124,11238.93,3,P,4.07,935,47.71800136892539
339,2000-02-01,2017-02-01,2018-02-01,1977-11-04,1997-04-24,0,18,2,3,1,2,2017-02-01,0,237.88,0,0,0,0.0,3,0,No,1995,60,1124,11238.93,3,P,4.07,935,47.71800136892539
340,2005-10-28,2016-10-28,2017-10-28,1943-06-06,1967-02-18,0,12,1,1,1,1,2016-10-28,0,229.91,0,0,1,0.09,3,0,No,2001,110,1997,26308.0,5,D,4.618,1385,82.1327857631759
342,2010-05-31,2016-06-01,2017-06-01,1943-11-04,1985-12-12,1,9,1,1,1,0,2018-06-01,0,317.08,0,0,0,0.0,3,1,No,2001,106,1598,11268.98,5,P,4.074,1107,81.71937029431896
342,2010-05-31,2017-06-01,2018-06-01,1943-11-04,1985-12-12,1,9,1,1,1,0,2018-06-01,0,323.43,0,0,0,0.0,3,1,No,2001,106,1598,11268.98,5,P,4.074,1107,81.71937029431896
343,2017-06-09,2018-06-09,2019-06-09,1944-01-28,1962-07-19,1,2,1,1,1,1,2018-11-14,1,445.92,0,0,0,0.0,3,1,No,2007,143,1995,27600.0,5,D,4.239,1320,81.48665297741273
343,2017-06-09,2017-06-09,2018-06-09,1944-01-28,1962-07-19,1,2,1,1,1,0,2018-11-14,1,437.17,0,0,0,0.0,3,1,No,2007,143,1995,27600.0,5,D,4.239,1320,81.48665297741273
345,2008-12-31,2015-12-31,2016-12-31,1943-01-01,1984-02-01,0,8,1,2,1,1,2015-12-31,0,229.83,0,0,0,0.0,2,1,No,1998,65,1870,12650.0,5,D,3.995,1110,82.55989048596851
352,2008-08-13,2017-09-01,2018-09-01,1946-03-16,1972-04-06,0,11,1,2,1,1,2017-09-01,0,1326.55,0,0,18,1.32,3,0,No,2007,234,3498,50770.0,5,P,4.77,1870,79.35660506502396
353,2016-10-01,2016-10-01,2017-10-01,1946-05-20,1964-10-01,1,2,1,1,1,0,2017-10-01,1,246.42,0,0,0,0.0,2,1,No,2004,90,1997,18180.0,5,D,4.137,1311,79.17864476386038
